feature_name,cluster,description,rating_options
relationships_Social_Isolation,1,"Feeling disconnected from others, lacking social connections","none (0), low (1), medium (2), high (3)"
tone_Emotional_tone,1,"The overall emotional tone of the text","none (0), low (1), medium (2), high (3)"
tone_Uncertainty,1,"The level of doubt and uncertainty in the text","none (0), low (1), medium (2), high (3)"
purpose_Suicidal_or_Self.Harm,1,"Expressing a desire to end one's life or harm oneself","high (3)"
tone_Desperation,1,"The level of urgency and hopelessness in the text","none (0), low (1), medium (2), high (3)"
tone_Despair,1,"The level of hopelessness and desperation in the text","none (0), low (1), medium (2), high (3)"
mentalhealth_Mental_Health_Crisis,1,"Experiencing a high risk of mental health crisis, including suicidal thoughts, self-harm, or desperation","none (0), low (1), medium (2), high (3)"
tone_Hopelessness,1,"The level of pessimism and lack of optimism in the text","none (0), low (1), medium (2), high (3)"
length_Conciseness,1,"The text's ability to convey information in a brief manner","low (1), medium (2), high (3)"
language_Language_Tone,1,"The overall tone of the language used","positive (0), neutral (1), negative (2)"
mentalhealth_Suicidal_Thoughts,1,"Expressing thoughts or plans of self-harm or death","none (0), low (1), medium (2), high (3)"
content_Emotional_Intensity,1,"The level of emotional intensity and passion in the text","none (0), low (1), medium (2), high (3)"
content_Suicidal_Thoughts,1,"Expressing thoughts or plans of self-harm or death","none (0), low (1), medium (2), high (3)"
length_Detail,2,"The level of detail provided in the text","none (0), low (1), medium (2), high (3)"
content_Self.Reflection,2,"Reflecting on personal experiences, emotions, or behaviors","none (0), low (1), medium (2), high (3)"
length_Narrativity,2,"The presence of a personal story or anecdote in the text","none (0), present (1)"
content_Specificity,2,"The level of detail and specificity in the content","none (0), low (1), medium (2), high (3)"
tone_Self.criticism,2,"The level of self-criticism and self-blame in the text","none (0), low (1), medium (2), high (3)"
tone_Self.blame_vs._self.acceptance,2,"The balance between self-blame and self-acceptance in the text","none (0), low (1), medium (2), high (3)"
tone_Self.blame,2,"The level of self-criticism and self-blame in the text","none (0), low (1), medium (2), high (3)"
tone_Anger,2,"The level of anger and frustration in the text","none (0), low (1), medium (2), high (3)"
content_Specific_Issue_Focus,2,"Focusing on a specific issue or problem, such as relationships, health, or work","none (0), low (1), medium (2), high (3)"
tone_Suicidal_thoughts,2,"The level of suicidal thoughts and ideation in the text","none (0), low (1), medium (2), high (3)"
language_Language_Suicidal_Content,2,"The presence of suicidal thoughts or language in the text","none (0), mild (1), strong (2)"
purpose_Sharing_Personal_Experience,2,"Sharing a personal story, struggle, or achievement","none (0), low (1), medium (2), high (3)"
relationships_Relationship_Difficulty,2,"Difficulty forming and maintaining relationships due to various reasons","none (0), low (1), medium (2), high (3)"
content_Personal_Struggle,2,"Discussing or expressing difficulties with personal issues, such as relationships, health, or self-doubt","none (0), low (1), medium (2), high (3)"
emotionalstate_Self.Loathing,2,"A feeling of intense self-disgust or self-hatred","none (0), low (1), medium (2), high (3)"
tone_Self.acceptance,3,"The level of self-acceptance and self-compassion in the text","none (0), low (1), medium (2), high (3)"
tone_Neutrality,3,"The level of neutrality and objectivity in the text","none (0), low (1), medium (2), high (3)"
tone_Certainty_of_outcome,3,"The level of confidence in the outcome or resolution in the text","none (0), low (1), medium (2), high (3)"
tone_Certainty,3,"The level of confidence and certainty in the text","none (0), low (1), medium (2), high (3)"
tone_Hopefulness,3,"The level of optimism and positivity in the text","none (0), low (1), medium (2), high (3)"
language_Language_Formality,3,"The level of formality in the language used","none (0), low (1), medium (2), high (3)"
mentalhealth_Mental_Health_Awareness,3,"Expressing awareness or understanding of mental health issues","none (0), low (1), medium (2), high (3)"
relationships_Emotional_Support_Received,3,"Receiving emotional support and care from others","none (0), low (1), medium (2), high (3)"
emotionalstate_Hope,3,"A feeling of optimism or expectation of a positive outcome","none (0), low (1), medium (2), high (3)"
relationships_Relationship_Quality,3,"The quality of a romantic relationship, including feelings of security and uncertainty","poor (0), fair (1), good (2), excellent (3)"
tone_Seeking_advice,3,"The level of seeking advice and guidance in the text","none (0), low (1), medium (2), high (3)"
tone_Help.seeking,3,"The level of seeking help and support in the text","none (0), low (1), medium (2), high (3)"
mentalhealth_Mental_Health_Treatment_Seeking,3,"Seeking help or treatment for mental health issues","none (0), low (1), medium (2), high (3)"
language_Language_Help.Seeking,3,"The presence of language indicating a desire for help or support","none (0), mild (1), strong (2)"
language_Language_Structure,3,"The level of structure and coherence in the language used","none (0), low (1), medium (2), high (3)"
length_Conciseness,4,"The text's ability to convey information in a brief manner","low (1), medium (2), high (3)"
emotionalstate_Neutrality,4,"A state of emotional balance or indifference","none (0), low (1), medium (2), high (3)"
tone_Seeking_advice,4,"The level of seeking advice and guidance in the text","none (0), low (1), medium (2), high (3)"
tone_Help.seeking,4,"The level of seeking help and support in the text","none (0), low (1), medium (2), high (3)"
