,Category,Post 1,Post 2
0,mental health,"self-harm, depression, suicidal thoughts, lack of support from partner","addiction, relapse, lack of support from partner, low self-esteem"
1,tone,"desperate, sad, hopeless, angry","sad, hurt, frustrated, angry"
2,relationship,"abusive partner, lack of support, feeling trapped","partner struggling with addiction, feeling unloved and untrusted"
3,language,"suicidal language, self-blame, feeling worthless","self-blame, feeling unloved, using strong language"
4,request,desire for someone to listen and show empathy,desire for partner to believe in and support them
5,tone,Angry and frustrated,Depressed and suicidal
6,content,Complains about noise and lack of sleep due to a family member's behavior,Expresses suicidal thoughts and self-loathing
7,language,Contains strong language and profanity,Contains strong language and profanity
8,purpose,Seeks a solution to a specific problem,Appears to be a statement of emotional distress
9,request for help,Mentions considering a drastic change in work schedule to cope with the situation,Does not mention seeking help or a solution
10,emotional state,Frustrated and desperate,Depressed and suicidal
11,specifics,Mentions a specific family member's behavior and its impact on their life,Does not mention a specific situation or problem
12,emotional state,Anxious/Regretful,Anxious/Concerned
13,tone,Negative,Reflective
14,content,Work-related mistake,Personal health concern
15,language,Informal,Informal
16,emotional intensity,High,Low
17,tone,Light-hearted and humorous,Serious and suicidal
18,content,Childhood memories and anxiety,Suicidal thoughts and self-harm
19,purpose,Seeking connection and validation,Expressing suicidal intent
20,language,Colloquial and casual,Formal and direct
21,emotional tone,Self-deprecating and humorous,Desperate and hopeless
22,tone,"Despondent, hopeless, and matter-of-fact about death","Neutral, inquiring"
23,content,"Expresses a desire to die, feels disconnected from life, and mentions evolutionary instinct",Asks about physical aspects of anxiety
24,language,Includes strong language and profanity,Does not include strong language
25,purpose,Expresses suicidal thoughts and feelings of hopelessness,Seeks information and support
26,emotional state,Describes a state of emotional numbness and acceptance of death,Expresses a need for help and support
27,topic,Mental Health/Panic Attacks,Skin Hunger
28,tone,Concerned/Seeking Help,Curious/Informative
29,language,Informal/Personal,Informal/Questioning
30,request,Advice/Help,Opinion/Information
31,link,None,Yes
32,emotional tone,Anxious,Neutral
33,mental health,"Struggling with depression, anxiety, and feelings of isolation, self-consciousness, and frustration with academic performance.","Experiencing anger, irritability, and depression, with a recent diagnosis of bipolar disorder and a history of taking medication."
34,academic performance,"Struggling with grades, missing due dates, and difficulty understanding concepts.",No mention of academic performance.
35,social life,"Feels isolated, has no close friends, and struggles with social interactions.",No mention of social life or relationships.
36,medication,No mention of medication.,Recently stopped taking Depakote medication and experiencing withdrawal symptoms.
37,emotional state,"Feels angry, frustrated, and sad, with a sense of hopelessness.","Experiencing anger, irritability, and hopelessness, with a sense of exhaustion."
38,age and timeframe,"A junior college student, struggling for over a year.","No specific age mentioned, but mentions a recent diagnosis in 2018."
39,tone,"Desperate, frustrated, and seeking help.","Honest, reflective, and somewhat resigned."
40,tone,Negative and emotional,Descriptive and questioning
41,language,Informal and fragmented,Formal and structured
42,length,Short,Long
43,specificity,Vague,Specific
44,purpose,Expressing emotions,Seeking advice or understanding
45,syntax,Simple and fragmented,Complex and multi-sentence
46,mental health,"expresses suicidal thoughts, feelings of hopelessness, and struggles with therapy and medication","describes anxiety and chest pain, but does not mention suicidal thoughts or feelings of hopelessness"
47,reason for seeking help,feeling overwhelmed by personal problems and wanting to end life,concern about chest pain and anxiety
48,medical attention,"has seen a therapist, but not a psychiatrist due to wait time","has seen a PCP, urgent care, and a social worker"
49,tone,desperate and emotional,concerned and seeking advice
50,specifics,mentions Christmas and family issues,mentions past anxiety and recent chest pain
51,mental health,"Expresses suicidal thoughts, feelings of emptiness, and hopelessness","Discusses anxiety, OCD, and past childhood experiences"
52,tone,"Desperate, hopeless, and regretful","Reflective, ashamed, and seeking help"
53,content,"Mentions suicidal thoughts and plans, feelings of guilt and remorse","Describes past childhood experiences, feelings of guilt and shame, and seeking help for anxiety and OCD"
54,purpose,"Unclear, possibly seeking validation or attention","Seeking help, support, and understanding for past experiences and current mental health struggles"
55,language,Includes explicit language and suicidal ideation,"Uses more neutral language, with some explicit descriptions of childhood experiences"
56,request,No clear request for help or support,Asks for uplifting feedback and help in understanding and dealing with past experiences
57,tone,Negative and pessimistic,Positive and hopeful
58,topic,Feeling mocked and belittled by others,Experiencing depression and seeking support
59,emotional state,"Sadness, self-doubt, and feeling like an outcast","Sadness, anxiety, but also hope and gratitude for support"
60,relationships,Feeling isolated and mocked by others,"Reconnecting with someone they have feelings for, receiving support"
61,purpose,Complaining and venting about feelings of isolation,Seeking support and sharing personal struggles
62,language,"Includes phrases like 'freak', 'loser', and 'butt of a joke'","Includes phrases like 'heavy mood swings', 'depression', and 'support'"
63,tone,Seeking help and understanding,Frustrated and hopeless
64,topic,Anxiety and physical symptoms,Career uncertainty and anxiety
65,language,Polite and inquiring,Profane and aggressive
66,purpose,Seeking explanation and potential solution,Expressing frustration and despair
67,self-perception,Self-aware and questioning,Defeated and uncertain
68,language style,Formal and detailed,Informal and emotive
69,trigger warning,trigger-warning,
70,relationship,my then boyfriend,
71,emotional state,"haunting me, hated it him desperately, I was worried about being sl*t-shamed",coping with my bad anxiety
72,physical state,"drank a lot, felt sick, threw up",struggle with close spaces and situations i can't get out of
73,sexual experience,"he took off my pants and underwear, had sex with me from behind, from the side, and then put me on top of him",
74,regret,I wish I would have just said „No“ in that moment,
75,language,English is not my first language,
76,emotional tone,"Sad, Depressed, Angry, Lonely, Torn",Unknown
77,specific situation,"Family dynamics, holiday season, personal struggles",General feeling of being against the world
78,length and detail,"Long, detailed, personal","Short, vague"
79,purpose,"Expressing emotions, sharing personal struggles",Unknown
80,tone of the writer,"Vulnerable, honest, apologetic",Unknown
81,specific emotions,"Sadness, anger, loneliness, discouragement",Unknown
82,personal relationships,"Family relationships, romantic relationship",Unknown
83,specific events,"Grandfather's death, family dynamics, home renovation",None
84,conclusion,"Expressing sadness and hopelessness, but maintaining faith",Unknown
85,tone,Negative/Reflective,Anxious/Relatable
86,topic,Social Media and Jealousy,Personal Struggle with Anxiety and Panic Attacks
87,language,Informal and casual,Informal and conversational
88,purpose,Seeking validation and connection,Seeking support and comfort
89,emotional state,Sadness and frustration,Anxiety and stress
90,length,Short and concise,Longer and more detailed
91,specifics,Mentions deactivating Facebook,Mentions medication and panic attacks
92,tone,Seeking advice and help,Desperate and suicidal
93,purpose,Preventing panic attacks in public,Expressing emotional pain and suicidal thoughts
94,mental health condition,Bipolar depression and anxiety,Not explicitly mentioned
95,language,Formal and polite,Informal and emotional
96,request for help,Asking for advice and coping mechanisms,"Implicitly asking for help, but with a sense of hopelessness"
97,emotional state,Anxious and fearful,"Overwhelmed, tired, and suicidal"
98,topic,Bipolar disorder and physical symptoms during mania,"Mental health, societal issues, and existential crisis"
99, tone,Concerned and inquiring,"Angry, frustrated, and despairing"
100,purpose,Seeking information and understanding,Expressing emotions and criticizing society
101,language,Clear and concise,"Emotive and expressive, with some profanity"
102,focus,Specific physical symptoms and their relation to bipolar disorder,Broad range of societal issues and personal struggles
103,length,Short and to the point,Long and rambling
104,tone towards others,Supportive and concerned about the well-being of others,Critical and dismissive of society and its values
105,tone,"Sad, hopeless, and suicidal","Sad, longing, and nostalgic"
106,content,"Suicidal thoughts, self-harm, and plans for death","Missing family and friends, feeling lonely, and wanting to be home for holidays"
107,purpose,"Unclear, possibly seeking validation or attention",Seeking understanding and empathy for missing out on holidays
108,language,Includes explicit language and references to self-harm,Includes sentimental and emotional language
109,intent,"Suicidal intent, possibly seeking help or not",Seeking support and understanding
110,request,"No clear request, possibly seeking help or attention",Requesting understanding and empathy
111,mental health symptoms,"Hearing voices, distinct voices in head, voices trying to make the author do things",
112,mental health medication,Lamictal,Ativan
113,tone and emotion,"Frustrated, annoyed, relieved","Anxious, desperate, suicidal"
114,request for interaction,None,"Negative comments, hate"
115,conclusion,"Positive, voices gone","Negative, contemplating leaving"
116,emotional state,"Depression, sadness, and desperation due to a past betrayal","Anxiety, stress, and uncertainty due to a family crisis"
117,reason for posting,Seeking help and support to cope with emotional pain,Seeking support and clear thinking to deal with a difficult decision
118,specific situation,A past friend's betrayal and abandonment,A family member's illness and a marital issue
119,tone,Desperate and emotional,Anxious and uncertain
120,request for help,"Yes, explicitly asking for help","Yes, seeking support and clear thinking"
121,personal circumstances,"Alone, no friends, no therapy, and far from family","Family member's illness, marital issues, and a young child"
122,mental health,No mention of mental health issues,"Mental health issues (suicidal thoughts, depression, low self-esteem)"
123,relationship status,Seeking a monogamous relationship,"Recently broken up, feeling used and mistreated"
124,relationship history,"Previous open relationship, previous partner cheated","Previous partner emotionally and possibly physically cheated, used, and mistreated"
125,self-perception,Self-doubt about ability to maintain monogamy,"Self-hatred, feeling like the 'worst human being alive'"
126,goals,Seeking a monogamous relationship and managing high sex drive,Seeking validation and self-acceptance
127,tone,Seeking advice and solutions,Self-criticism and self-blame
128,specific behaviors,"Previous open relationship, high sex drive, seeking outlets","Lurking on ex's social media, self-destructive habits"
129,tone,"Despairing, hopeless, and self-deprecating","Reflective, questioning, and seeking help"
130,language,"Dark, violent, and graphic (e.g., 'crushing, infinite sadness', 'dying', 'hell', 'cancer', 'remission')","Mild, introspective, and philosophical (e.g., 'shame', 'self-loathing', 'second chance')"
131,focus,"Personal struggles with depression, relationships, and existential crises","Abstract, philosophical questions about shame, existence, and personal growth"
132,purpose,"Expressing and processing emotions, possibly seeking validation or support","Seeking guidance, advice, or a second chance from the community"
133,specifics,"Mentions specific struggles with employment, relationships, and health",Does not mention specific struggles or personal details
134,tone,"Desperate, anxious, and suicidal","Self-reflective, casual, and slightly anxious"
135,content,"Mental health struggles, bullying, suicidal thoughts, and feelings of isolation","Relationship issues, casual sex, and emotional detachment"
136,language,"Emotive language (e.g., 'deadly anxiety overdrive', 'hurts', 'die'), metaphors (e.g., 'punch'), and rhetorical questions","Casual language, self-deprecation, and introspection"
137,purpose,"Seeking understanding, support, and validation for mental health struggles",Self-reflection and possibly seeking validation for relationship choices
138,emotional state,"Overwhelmed, anxious, depressed, and suicidal","Anxious, self-aware, and possibly uncertain"
139,tone towards others,"Resentful, hurt, and angry towards peers, mother, and teachers","Self-critical, possibly dismissive of others' expectations"
140,topic,Mental Health and Manic Episodes,Work and Salary Negotiation
141,tone,Honest and Vulnerable,Anxious and Worried
142,content,"Describes personal experiences with manic episodes, including violent behavior and unusual thoughts",Describes a personal experience of asking for a raise and waiting for a response
143,language,Includes explicit language and mentions of racism and evil thoughts,Professional and polite language
144,purpose,Seeks comparison and understanding of manic episodes,Seeks resolution and reassurance about a work situation
145,emotional state,Reflects on past experiences with a sense of regret and self-awareness,Experiences anxiety and uncertainty about the future
146,tone,Neutral/Jealous,Emotional/Vulnerable
147,content,Social comparison,"Mental health struggles, depression, suicidal thoughts"
148,length,Short,Long
149,purpose,Expressing a feeling,Seeking help and support
150,language,Simple,Complex and emotional
151,subject,Social relationships,Mental health and well-being
152,tone,Seeking advice and support,Desperate and suicidal
153,language,Polite and considerate,Abrasive and aggressive
154,purpose,Seeking help to break a negative cycle,Expressing a desire for death as a means to end pain
155,emotional state,Negative and hurt,Overwhelmed and suicidal
156,request for help,Asks for words of wisdom and experiences,"Does not ask for help, but rather expresses a desire for death"
157,mental health,Acknowledges unhealthy thoughts and seeks help,Expresses a desire to end life due to pain
158,tone,Depressed and somewhat sarcastic,Desperate and hopeless
159,focus,Criticism of New Year's celebrations,Personal struggles and self-blame
160,language,Includes phrases like 'shit' and 'derpressing',Includes phrases like 'done with this' and 'all alone'
161,optimism,Expresses hope for change in the new year,Lacks optimism and expresses hopelessness
162,purpose,Critique of New Year's celebrations,Personal reflection and self-blame
163,tone,Empowering and encouraging,Desperate and seeking logical reasons to stay alive
164,purpose,Sharing personal experience to help others,Seeking help and logical arguments to stay alive
165,content,Describes a personal experience of overcoming a toxic relationship and its impact on mental health,"Discusses suicidal thoughts and plans, seeking logical reasons to stay alive"
166,language,"Includes phrases like 'I feel so alive', 'don't be afraid to leave', 'there is hope and there are ways out'","Includes phrases like 'I've started to seriously consider ending my life', 'I've written a first draft of a note', 'I want to die with a clear conscience'"
167,target audience,"Appears to be directed at people in similar situations, encouraging them to leave unhealthy relationships","Appears to be directed at the author themselves, seeking help and logical reasons to stay alive"
168,mental health focus,"Focuses on the impact of toxic relationships on mental health, specifically bipolar disorder",Focuses on suicidal thoughts and depression
169,specificity,Specifically mentions bipolar disorder and its impact on the author's life,"Specifically mentions depression, suicidal thoughts, and plans"
170,request for help,Does not explicitly ask for help,"Explicitly asks for a logical, rational argument to stay alive"
171,mental state,"Feeling aimless, lonely, and without purpose","Feeling socially awkward, insecure, and uncertain about relationships"
172,life choices,"Dropped out of school, spent 3 years playing video games","No mention of dropping out of school, but struggles with social interactions"
173,relationships,No friends or girlfriend,"In a relationship, but feeling insecure and uncertain about partner's feelings"
174,emotional state,Feeling of existential crisis and purposelessness,"Feeling of inadequacy, insecurity, and anxiety"
175,goals,No clear goals or aspirations,"Wants to be able to dance, sing, and impress partner"
176,trust,No mention of trust issues,"Trust issues with partner, feeling like they're being cheated on"
177,self-perception,Feels like they don't exist or have a purpose,Feels like they're not good enough or normal
178,emotional state,"Conflicted, uncertain, and torn between two relationships","Depressed, hopeless, and suicidal"
179,relationship status,"In a long-term relationship with problems, also had a brief connection with someone from the past",No mention of a current relationship
180,tone,"Romantic, nostalgic, and introspective","Dark, hopeless, and suicidal"
181,reason for distress,"Unfulfilling relationship, unrequited love, and uncertainty about the future","Unhappiness with life, feeling trapped, and suicidal thoughts"
182,language and imagery,"Uses romantic and emotional language, mentions feeling like the 'most beautiful woman in the world'","Uses dark and desperate language, mentions wanting to die"
183,self-perception,"Self-doubting, questioning own feelings and motivations","Self-loathing, feeling like a burden to others"
184,tone,Concerned and seeking help,Casual and somewhat morbid
185,purpose,Seeking advice and understanding,Sharing a personal thought
186,content,"Anxiety, depression, physical symptoms, and seeking help",Daydreaming about death and accidents
187,length,Longer and more detailed,Short and concise
188,language,Formal and apologetic,Informal and casual
189,emotional tone,Vulnerable and anxious,Neutral and somewhat morbid
190,tone,"Negative, emotional, and desperate","Negative, but philosophical and introspective"
191,reason for feeling,Personal health issues (migraines and depression),Disappointment with humanity and societal progress
192,language used,Profanity and strong language,Mild language
