,category,featurename,short_description,rating,feature_id
0,tone,Desperation,The level of urgency and hopelessness in the text,"none, low, medium, high (0-3)",tone_Desperation
1,tone,Hopelessness,The level of pessimism and lack of optimism in the text,"none, low, medium, high (0-3)",tone_Hopelessness
2,tone,Anger,The level of anger and frustration in the text,"none, low, medium, high (0-3)",tone_Anger
3,tone,Sadness,The level of sadness and emotional pain in the text,"none, low, medium, high (0-3)",tone_Sadness
4,tone,Frustration,The level of frustration and irritation in the text,"none, low, medium, high (0-3)",tone_Frustration
5,tone,Honesty,The level of openness and sincerity in the text,"none, low, medium, high (0-3)",tone_Honesty
6,tone,Vulnerability,The level of openness and willingness to be hurt in the text,"none, low, medium, high (0-3)",tone_Vulnerability
7,tone,Help-seeking,The level of seeking help and support in the text,"none, low, medium, high (0-3)",tone_Help-seeking
8,tone,Self-blame,The level of self-criticism and self-blame in the text,"none, low, medium, high (0-3)",tone_Self-blame
9,tone,Hopefulness,The level of optimism and positivity in the text,"none, low, medium, high (0-3)",tone_Hopefulness
10,tone,Emotional intensity,The level of emotional intensity and passion in the text,"none, low, medium, high (0-3)",tone_Emotional_intensity
11,tone,Certainty,The level of confidence and certainty in the text,"none, low, medium, high (0-3)",tone_Certainty
12,tone,Uncertainty,The level of doubt and uncertainty in the text,"none, low, medium, high (0-3)",tone_Uncertainty
13,tone,Self-reflection,The level of self-awareness and introspection in the text,"none, low, medium, high (0-3)",tone_Self-reflection
14,tone,Seeking advice,The level of seeking advice and guidance in the text,"none, low, medium, high (0-3)",tone_Seeking_advice
15,tone,Despair,The level of hopelessness and desperation in the text,"none, low, medium, high (0-3)",tone_Despair
16,tone,Suicidal thoughts,The level of suicidal thoughts and ideation in the text,"none, low, medium, high (0-3)",tone_Suicidal_thoughts
17,tone,Self-criticism,The level of self-criticism and self-blame in the text,"none, low, medium, high (0-3)",tone_Self-criticism
18,tone,Self-acceptance,The level of self-acceptance and self-compassion in the text,"none, low, medium, high (0-3)",tone_Self-acceptance
19,tone,Emotional expression,The level of emotional expression and openness in the text,"none, low, medium, high (0-3)",tone_Emotional_expression
20,tone,Neutrality,The level of neutrality and objectivity in the text,"none, low, medium, high (0-3)",tone_Neutrality
21,tone,Certainty of outcome,The level of confidence in the outcome or resolution in the text,"none, low, medium, high (0-3)",tone_Certainty_of_outcome
22,tone,Emotional tone,The overall emotional tone of the text,"none, low, medium, high (0-3)",tone_Emotional_tone
23,tone,Self-blame vs. self-acceptance,The balance between self-blame and self-acceptance in the text,"none, low, medium, high (0-3)",tone_Self-blame_vs._self-acceptance
24,tone,Hope vs. despair,The balance between hope and despair in the text,"none, low, medium, high (0-3)",tone_Hope_vs._despair
25,tone,Certainty vs. uncertainty,The balance between certainty and uncertainty in the text,"none, low, medium, high (0-3)",tone_Certainty_vs._uncertainty
26,tone,Emotional intensity vs. emotional restraint,The balance between emotional intensity and emotional restraint in the text,"none, low, medium, high (0-3)",tone_Emotional_intensity_vs._emotional_restraint
0,purpose,Seeking Help or Support,Expressing a need for assistance or emotional support,"none, low, medium, high (0-3)",purpose_Seeking_Help_or_Support
1,purpose,Expressing Emotions,"Sharing feelings, thoughts, or experiences","none, low, medium, high (0-3)",purpose_Expressing_Emotions
2,purpose,Seeking Validation or Connection,"Desiring understanding, empathy, or a sense of belonging","none, low, medium, high (0-3)",purpose_Seeking_Validation_or_Connection
3,purpose,Sharing Personal Experience,"Sharing a personal story, struggle, or achievement","none, low, medium, high (0-3)",purpose_Sharing_Personal_Experience
4,purpose,Seeking Advice or Information,"Requesting guidance, knowledge, or insight","none, low, medium, high (0-3)",purpose_Seeking_Advice_or_Information
5,purpose,Expressing Frustration or Anger,"Conveying negative emotions, possibly seeking release or catharsis","none, low, medium, high (0-3)",purpose_Expressing_Frustration_or_Anger
6,purpose,Unclear or Ambiguous,Lacking a clear purpose or intent,"none, low, medium, high (0-3)",purpose_Unclear_or_Ambiguous
7,purpose,Suicidal or Self-Harm,Expressing a desire to end one's life or harm oneself,high (1-3),purpose_Suicidal_or_Self-Harm
8,purpose,Seeking Reassurance or Validation,Desiring confirmation or approval of one's thoughts or feelings,"none, low, medium, high (0-3)",purpose_Seeking_Reassurance_or_Validation
9,purpose,Sharing a Personal Desire or Need,Expressing a personal want or requirement,"none, low, medium, high (0-3)",purpose_Sharing_a_Personal_Desire_or_Need
10,purpose,Self-Reflection or Questioning,"Examining one's thoughts, feelings, or actions","none, low, medium, high (0-3)",purpose_Self-Reflection_or_Questioning
0,language,Language Formality,The level of formality in the language used,"none, low, medium, high (0-3)",language_Language_Formality
1,language,Language Profanity,The presence and intensity of profanity in the language used,"none, mild, strong (0-2)",language_Language_Profanity
2,language,Language Emotional Intensity,The level of emotional intensity in the language used,"low, medium, high (0-2)",language_Language_Emotional_Intensity
3,language,Language Clarity,The clarity and concision of the language used,"simple, complex (0-1)",language_Language_Clarity
4,language,Language Tone,The overall tone of the language used,"positive, neutral, negative (0-2)",language_Language_Tone
5,language,Language Structure,The level of structure and coherence in the language used,"simple, complex (0-1)",language_Language_Structure
6,language,Language Colloquiality,The use of colloquial expressions and slang in the language used,"none, mild, strong (0-2)",language_Language_Colloquiality
7,language,Language Suicidal Content,The presence of suicidal thoughts or language in the text,"none, mild, strong (0-2)",language_Language_Suicidal_Content
8,language,Language Help-Seeking,The presence of language indicating a desire for help or support,"none, mild, strong (0-2)",language_Language_Help-Seeking
0,emotionalstate,Emotional Numbness,A state of emotional numbness and acceptance of death,"none, low, medium, high (0-3)",emotionalstate_Emotional_Numbness
1,emotionalstate,Hopelessness,"Feeling hopeless, without a sense of purpose or direction","none, low, medium, high (0-3)",emotionalstate_Hopelessness
2,emotionalstate,Anxiety,"A feeling of worry, nervousness, or apprehension","none, low, medium, high (0-3)",emotionalstate_Anxiety
3,emotionalstate,Depression,"A state of low mood, sadness, and loss of interest in activities","none, low, medium, high (0-3)",emotionalstate_Depression
4,emotionalstate,Desperation,"A feeling of intense emotional distress, often accompanied by a sense of hopelessness","none, low, medium, high (0-3)",emotionalstate_Desperation
5,emotionalstate,Regret,A feeling of sadness or guilt about past actions or decisions,"none, low, medium, high (0-3)",emotionalstate_Regret
6,emotionalstate,Self-Awareness,"A state of being aware of one's emotions, thoughts, and behaviors","none, low, medium, high (0-3)",emotionalstate_Self-Awareness
7,emotionalstate,Uncertainty,A feeling of doubt or uncertainty about the future or a situation,"none, low, medium, high (0-3)",emotionalstate_Uncertainty
8,emotionalstate,Frustration,A feeling of anger or annoyance caused by a perceived obstacle or difficulty,"none, low, medium, high (0-3)",emotionalstate_Frustration
9,emotionalstate,Anger,A strong feeling of displeasure or hostility,"none, low, medium, high (0-3)",emotionalstate_Anger
